# Population NorthSea_Spottedray	P08871,P08878,P08953
# Population Skagerrak_Sailray	P08955,P08956,P08957,P08958
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
8	NorthSea_Spottedray	Skagerrak_Sailray	NC_045956.1	17483015	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.76190	0.76190	0.00000
30	NorthSea_Spottedray	Skagerrak_Sailray	NC_045956.1	49130841	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.67890	0.67890	0.00000
79	NorthSea_Spottedray	Skagerrak_Sailray	NC_045956.1	95256501	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.52381	0.52381	0.00000
100	NorthSea_Spottedray	Skagerrak_Sailray	NC_045956.1	127726675	0.89427	0.89427	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
343	NorthSea_Spottedray	Skagerrak_Sailray	NC_045958.1	93202152	0.54778	0.54778	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
522	NorthSea_Spottedray	Skagerrak_Sailray	NC_045960.1	37538046	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.11392	0.11392	0.00000
546	NorthSea_Spottedray	Skagerrak_Sailray	NC_045960.1	57877902	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.04762	0.04762	0.00000
740	NorthSea_Spottedray	Skagerrak_Sailray	NC_045963.1	6038802	0.50515	0.50515	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
780	NorthSea_Spottedray	Skagerrak_Sailray	NC_045963.1	48067031	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.78395	0.78395	0.00000
991	NorthSea_Spottedray	Skagerrak_Sailray	NC_045966.1	60679700	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.52381	0.52381	0.00000
1047	NorthSea_Spottedray	Skagerrak_Sailray	NC_045967.1	52130172	0.83784	0.83784	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1053	NorthSea_Spottedray	Skagerrak_Sailray	NC_045967.1	57676791	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1139	NorthSea_Spottedray	Skagerrak_Sailray	NC_045969.1	29547571	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.34375	0.34375	0.00000
1143	NorthSea_Spottedray	Skagerrak_Sailray	NC_045969.1	31465155	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.04762	0.04762	0.00000
1310	NorthSea_Spottedray	Skagerrak_Sailray	NC_045972.1	34459403	0.93939	0.93939	0.00000	1.00000	1.00000	0.00000	0.66667	0.66667	0.00000
1361	NorthSea_Spottedray	Skagerrak_Sailray	NC_045973.1	35799385	0.35135	0.35135	0.00000	1.00000	1.00000	0.00000	0.59615	0.59615	0.00000
1375	NorthSea_Spottedray	Skagerrak_Sailray	NC_045974.1	468908	0.89787	0.89787	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1454	NorthSea_Spottedray	Skagerrak_Sailray	NC_045975.1	22992060	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.04762	0.04762	0.00000
1472	NorthSea_Spottedray	Skagerrak_Sailray	NC_045975.1	35569990	0.93333	0.93333	0.00000	1.00000	1.00000	0.00000	0.09091	0.09091	0.00000
1717	NorthSea_Spottedray	Skagerrak_Sailray	NC_045981.1	27382893	0.92308	0.92308	0.00000	1.00000	1.00000	0.00000	0.00238	0.00238	0.00000
1783	NorthSea_Spottedray	Skagerrak_Sailray	NC_045983.1	13658548	0.68000	0.68000	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1797	NorthSea_Spottedray	Skagerrak_Sailray	NC_045983.1	20205624	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1822	NorthSea_Spottedray	Skagerrak_Sailray	NC_045984.1	10925322	0.93658	0.93658	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
2066	NorthSea_Spottedray	Skagerrak_Sailray	NC_045992.1	11679358	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.25532	0.25532	0.00000
2106	NorthSea_Spottedray	Skagerrak_Sailray	NC_045994.1	1039960	0.97736	0.97217	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
2076	NorthSea_Spottedray	Skagerrak_Sailray	NC_045993.1	1282256	0.96000	0.96256	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
2113	NorthSea_Spottedray	Skagerrak_Sailray	NC_045994.1	8320647	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
2140	NorthSea_Spottedray	Skagerrak_Sailray	NC_045996.1	14772406	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
