# Population Skagerrak_Thornbackskate	P08780,SR10,SR11,SR12,SR14,SR15,SR16,SR17,SR18,SR19,SR20,SR22,SR23,SR3,SR4,SR5,SR8,SR9
# Population Skagerrak_Sailray	P08955,P08956,P08957,P08958
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
4	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045956.1	11457196	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.83735	0.83735	0.00000
8	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045956.1	17483015	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
30	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045956.1	49130841	0.94337	0.94337	0.00000	1.00000	1.00000	0.00000	0.91408	0.91408	0.00000
79	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045956.1	95256501	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.96678	0.96678	0.00000
100	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045956.1	127726675	0.88828	0.88828	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
329	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045958.1	77473519	0.94606	0.94606	0.00000	1.00000	1.00000	0.00000	0.85329	0.85329	0.00000
343	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045958.1	93202152	0.74485	0.74485	0.00000	0.80972	0.80972	0.00000	0.81383	0.81383	0.00000
522	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045960.1	37538046	0.47938	0.47938	0.00000	1.00000	1.00000	0.00000	0.61525	0.61525	0.00000
546	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045960.1	57877902	0.88026	0.88026	0.00000	1.00000	1.00000	0.00000	0.64313	0.64313	0.00000
621	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045961.1	40543720	0.75350	0.75350	0.00000	1.00000	1.00000	0.00000	0.90323	0.90323	0.00000
740	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045963.1	6038802	0.73979	0.73979	0.00000	0.82284	0.82284	0.00000	0.82473	0.82473	0.00000
780	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045963.1	48067031	0.89624	0.89624	0.00000	1.00000	1.00000	0.00000	0.94750	0.94750	0.00000
871	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045964.1	65463612	0.66093	0.66093	0.00000	0.53707	0.53707	0.00000	0.35799	0.35799	0.00000
878	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045964.1	73226211	0.89972	0.89972	0.00000	1.00000	1.00000	0.00000	0.40789	0.40789	0.00000
991	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045966.1	60679700	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.84562	0.84562	0.00000
1047	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045967.1	52130172	0.81971	0.81971	0.00000	1.00000	1.00000	0.00000	0.91294	0.91294	0.00000
1053	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045967.1	57676791	0.78099	0.78099	0.00000	1.00000	1.00000	0.00000	0.86275	0.86275	0.00000
1085	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045968.1	27241754	0.80170	0.80170	0.00000	1.00000	1.00000	0.00000	0.79662	0.79662	0.00000
1139	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045969.1	29547571	0.91480	0.91480	0.00000	1.00000	1.00000	0.00000	0.92261	0.92261	0.00000
1143	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045969.1	31465155	0.96592	0.96592	0.00000	1.00000	1.00000	0.00000	0.57821	0.57821	0.00000
1361	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045973.1	35799385	0.79028	0.79028	0.00000	0.55544	0.55544	0.00000	0.41966	0.41966	0.00000
1375	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045974.1	468908	0.92897	0.92897	0.00000	1.00000	1.00000	0.00000	0.74508	0.74508	0.00000
1454	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045975.1	22992060	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.88275	0.88275	0.00000
1472	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045975.1	35569990	0.66756	0.66756	0.00000	1.00000	1.00000	0.00000	0.07895	0.07895	0.00000
1484	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045976.1	13075923	0.74651	0.74651	0.00000	1.00000	1.00000	0.00000	0.45661	0.45661	0.00000
1490	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045976.1	21478340	0.18182	0.18182	0.00000	0.18182	0.18182	0.00000	0.17219	0.17219	0.00000
1710	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045981.1	21724163	-0.02207	-0.02207	0.00000	-0.00309	-0.00309	0.00000	0.15301	0.15301	0.00000
1717	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045981.1	27382893	0.58021	0.58021	0.00000	1.00000	1.00000	0.00000	0.51902	0.51902	0.00000
1783	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045983.1	13658548	0.76280	0.76280	0.00000	0.54557	0.54557	0.00000	0.50877	0.50877	0.00000
1797	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045983.1	20205624	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.74771	0.74771	0.00000
1825	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045984.1	12559011	0.98729	0.98729	0.00000	1.00000	1.00000	0.00000	0.96517	0.96517	0.00000
1887	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045986.1	15713795	0.85161	0.85161	0.00000	1.00000	1.00000	0.00000	0.94815	0.94815	0.00000
1961	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045988.1	4176617	-0.27434	-0.27434	0.00000	-0.05024	-0.05024	0.00000	0.11308	0.11308	0.00000
2066	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045992.1	11679358	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.95220	0.95220	0.00000
2106	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045994.1	1039960	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.94544	0.94544	0.00000
2113	Skagerrak_Thornbackskate	Skagerrak_Sailray	NC_045994.1	8320647	-0.03614	-0.03614	0.00000	0.01848	0.01848	0.00000	0.18586	0.18586	0.00000
