# Population NorthSea_Thornbackskate	P08867,P08869,P08870,P08899,P08901,P08902,P08903,P08905,P08907,P08909,P08912,P08913,P08915,P08916,P08918,P08919,P08920,P08921,P08922,P08923,P08924,P08925,P08927,P08928,P08930,P08931,P08932,P08933,P08935,P08936,P08960,P08963,P08964,P08965,P08967,P08968,P08969,P08971,P08972,P08973,P08974,P08975,P08980,P08981
# Population Skagerrak_Thornbackskate	P08780,SR10,SR11,SR12,SR14,SR15,SR16,SR17,SR18,SR19,SR20,SR22,SR23,SR3,SR4,SR5,SR8,SR9
# Population NorthSea_Blonderay	P08949,P08950,P08951,P08952
# Population NorthSea_Spottedray	P08871,P08878,P08953
# Population NorthSea_unknownspc	P2397507
# Population Skagerrak_Sailray	P08955,P08956,P08957,P08958
# Population Kattegat_Thornbackskate	P08713
# Population Aquarium_Thornbackskate	P2397621,P2397622,P2397623,P2397624,P2397625,P2397626,P2397627,P2397628,P2397629,P2397630,P2397631,P2397632,P2397633,P2397634,P2397635,P2397636,P2397637,P2397638
# Group defaultgrp	NorthSea_Thornbackskate,Skagerrak_Thornbackskate,NorthSea_Blonderay,NorthSea_Spottedray,NorthSea_unknownspc,Skagerrak_Sailray,Kattegat_Thornbackskate,Aquarium_Thornbackskate
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
4	NC_045956.1	11457196	1.00000	1.00000	0.00000	0.14286	0.14286	0.00000	-nan	-nan	0.00000
8	NC_045956.1	17483015	0.92146	0.92146	0.00000	0.31573	0.31573	0.00000	0.73432	0.73432	0.00000
30	NC_045956.1	49130841	0.79279	0.79279	0.00000	0.48522	0.48522	0.00000	-nan	-nan	0.00000
61	NC_045956.1	78277035	0.52721	0.52721	0.00000	0.51034	0.51034	0.00000	-nan	-nan	0.00000
69	NC_045956.1	83707414	0.02230	0.02230	0.00000	-0.01092	-0.01092	0.00000	-nan	-nan	0.00000
71	NC_045956.1	85180118	0.07827	0.07827	0.00000	0.00733	0.00733	0.00000	-nan	-nan	0.00000
79	NC_045956.1	95256501	0.79909	0.79909	0.00000	0.24372	0.24372	0.00000	0.59804	0.59804	0.00000
100	NC_045956.1	127726675	0.47408	0.47408	0.00000	0.16409	0.16409	0.00000	0.29144	0.29144	0.00000
108	NC_045956.1	136357848	0.68326	0.68326	0.00000	0.22114	0.22114	0.00000	-nan	-nan	0.00000
110	NC_045956.1	137361358	0.85673	0.85673	0.00000	0.18613	0.18613	0.00000	-nan	-nan	0.00000
127	NC_045956.1	149555626	1.00000	1.00000	0.00000	0.52632	0.52632	0.00000	-nan	-nan	0.00000
163	NC_045957.1	5996516	0.83230	0.83230	0.00000	0.17649	0.17649	0.00000	-nan	-nan	0.00000
