# Population NorthSea_Thornbackskate	P08867,P08869,P08870,P08899,P08901,P08902,P08903,P08905,P08907,P08909,P08912,P08913,P08915,P08916,P08918,P08919,P08920,P08921,P08922,P08923,P08924,P08925,P08927,P08928,P08930,P08931,P08932,P08933,P08935,P08936,P08960,P08963,P08964,P08965,P08967,P08968,P08969,P08971,P08972,P08973,P08974,P08975,P08980,P08981
# Population NorthSea_Blonderay	P08949,P08950,P08951,P08952
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
8	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045956.1	17483015	0.94385	0.94385	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
79	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045956.1	95256501	0.84472	0.84472	0.00000	1.00000	1.00000	0.00000	0.75670	0.75670	0.00000
100	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045956.1	127726675	0.10246	0.10246	0.00000	0.06200	0.06200	0.00000	0.07215	0.07215	0.00000
108	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045956.1	136357848	0.86476	0.86476	0.00000	1.00000	1.00000	0.00000	0.85170	0.85170	0.00000
163	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045957.1	5996516	0.96942	0.96942	0.00000	1.00000	1.00000	0.00000	0.81958	0.81958	0.00000
239	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045957.1	120507243	0.78513	0.78513	0.00000	1.00000	1.00000	0.00000	0.72455	0.72455	0.00000
343	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045958.1	93202152	0.18844	0.18844	0.00000	0.16463	0.16463	0.00000	0.12591	0.12591	0.00000
522	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045960.1	37538046	0.21700	0.21700	0.00000	0.58908	0.58908	0.00000	0.49964	0.49964	0.00000
740	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045963.1	6038802	0.68473	0.68473	0.00000	0.91995	0.91995	0.00000	0.95472	0.95472	0.00000
780	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045963.1	48067031	0.67017	0.67017	0.00000	1.00000	1.00000	0.00000	0.77420	0.77420	0.00000
1296	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045972.1	19589136	0.23884	0.23884	0.00000	0.40968	0.40968	0.00000	0.36485	0.36485	0.00000
1361	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045973.1	35799385	0.80157	0.80157	0.00000	0.95354	0.95354	0.00000	0.65087	0.65087	0.00000
1375	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045974.1	468908	0.90186	0.90186	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1454	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045975.1	22992060	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.79604	0.79604	0.00000
1466	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045975.1	28942445	-0.40092	-0.40092	0.00000	-0.51479	-0.51479	0.00000	-0.13065	-0.13065	0.00000
1472	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045975.1	35569990	0.47961	0.47961	0.00000	1.00000	1.00000	0.00000	0.63357	0.63357	0.00000
1566	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045978.1	18084024	0.84362	0.84362	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1783	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045983.1	13658548	0.55642	0.55642	0.00000	0.75952	0.75952	0.00000	0.78573	0.78573	0.00000
1844	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045984.1	25032221	-0.08870	-0.08870	0.00000	-0.01594	-0.01594	0.00000	-0.08129	-0.08129	0.00000
1978	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045988.1	21982407	0.81704	0.81704	0.00000	1.00000	1.00000	0.00000	0.71324	0.71324	0.00000
2071	NorthSea_Thornbackskate	NorthSea_Blonderay	NC_045992.1	17603329	-0.02752	-0.02752	0.00000	-0.00477	-0.00477	0.00000	-0.00051	-0.00051	0.00000
