# Population NorthSea_Blonderay	P08949,P08950,P08951,P08952
# Population NorthSea_Spottedray	P08871,P08878,P08953
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
8	NorthSea_Blonderay	NorthSea_Spottedray	NC_045956.1	17483015	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
100	NorthSea_Blonderay	NorthSea_Spottedray	NC_045956.1	127726675	0.40000	0.40000	0.00000	0.28571	0.28571	0.00000	0.22794	0.22794	0.00000
343	NorthSea_Blonderay	NorthSea_Spottedray	NC_045958.1	93202152	0.32000	0.32000	0.00000	0.23077	0.23077	0.00000	0.27083	0.27083	0.00000
475	NorthSea_Blonderay	NorthSea_Spottedray	NC_045960.1	3540457	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.16667	0.16667	0.00000
522	NorthSea_Blonderay	NorthSea_Spottedray	NC_045960.1	37538046	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.67890	0.67890	0.00000
721	NorthSea_Blonderay	NorthSea_Spottedray	NC_045962.1	59158986	0.44186	0.44186	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
780	NorthSea_Blonderay	NorthSea_Spottedray	NC_045963.1	48067031	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.78395	0.78395	0.00000
956	NorthSea_Blonderay	NorthSea_Spottedray	NC_045966.1	18630599	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.16667	0.16667	0.00000
1155	NorthSea_Blonderay	NorthSea_Spottedray	NC_045969.1	38414589	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.37500	0.37500	0.00000
1166	NorthSea_Blonderay	NorthSea_Spottedray	NC_045969.1	46574701	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1296	NorthSea_Blonderay	NorthSea_Spottedray	NC_045972.1	19589136	0.44186	0.44186	0.00000	0.28358	0.28358	0.00000	0.17105	0.17105	0.00000
1356	NorthSea_Blonderay	NorthSea_Spottedray	NC_045973.1	33998032	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.25532	0.25532	0.00000
1375	NorthSea_Blonderay	NorthSea_Spottedray	NC_045974.1	468908	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1397	NorthSea_Blonderay	NorthSea_Spottedray	NC_045974.1	17801884	0.67785	0.67785	0.00000	0.67785	0.67785	0.00000	0.68182	0.68182	0.00000
1472	NorthSea_Blonderay	NorthSea_Spottedray	NC_045975.1	35569990	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.58333	0.58333	0.00000
1759	NorthSea_Blonderay	NorthSea_Spottedray	NC_045982.1	23906648	0.73626	0.73626	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1783	NorthSea_Blonderay	NorthSea_Spottedray	NC_045983.1	13658548	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1978	NorthSea_Blonderay	NorthSea_Spottedray	NC_045988.1	21982407	0.85714	0.85714	0.00000	1.00000	1.00000	0.00000	0.09091	0.09091	0.00000
2071	NorthSea_Blonderay	NorthSea_Spottedray	NC_045992.1	17603329	0.73626	0.73626	0.00000	1.00000	1.00000	0.00000	0.78395	0.78395	0.00000
2138	NorthSea_Blonderay	NorthSea_Spottedray	NC_045996.1	13270043	0.33333	0.33333	0.00000	0.25000	0.25000	0.00000	-0.06061	-0.06061	0.00000
