# Population NorthSea_Spottedray	P08871,P08878,P08953
# Population Aquarium_Thornbackskate	P2397621,P2397622,P2397623,P2397624,P2397625,P2397626,P2397627,P2397628,P2397629,P2397630,P2397631,P2397632,P2397633,P2397634,P2397635,P2397636,P2397637,P2397638
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
8	NorthSea_Spottedray	Aquarium_Thornbackskate	NC_045956.1	17483015	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.86667	0.86667	0.00000
30	NorthSea_Spottedray	Aquarium_Thornbackskate	NC_045956.1	49130841	0.70223	0.70223	0.00000	1.00000	1.00000	0.00000	0.80676	0.80676	0.00000
79	NorthSea_Spottedray	Aquarium_Thornbackskate	NC_045956.1	95256501	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.81183	0.81183	0.00000
100	NorthSea_Spottedray	Aquarium_Thornbackskate	NC_045956.1	127726675	0.73214	0.73214	0.00000	0.32540	0.32540	0.00000	0.25214	0.25214	0.00000
110	NorthSea_Spottedray	Aquarium_Thornbackskate	NC_045956.1	137361358	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.92834	0.92834	0.00000
189	NorthSea_Spottedray	Aquarium_Thornbackskate	NC_045957.1	32309042	0.80782	0.80782	0.00000	1.00000	1.00000	0.00000	0.36355	0.36355	0.00000
334	NorthSea_Spottedray	Aquarium_Thornbackskate	NC_045958.1	86125792	0.85259	0.85259	0.00000	1.00000	1.00000	0.00000	0.52566	0.52566	0.00000
343	NorthSea_Spottedray	Aquarium_Thornbackskate	NC_045958.1	93202152	0.28766	0.28766	0.00000	0.26458	0.26458	0.00000	0.26056	0.26056	0.00000
379	NorthSea_Spottedray	Aquarium_Thornbackskate	NC_045959.1	11702144	0.77004	0.77004	0.00000	0.95263	0.95263	0.00000	0.81405	0.81405	0.00000
522	NorthSea_Spottedray	Aquarium_Thornbackskate	NC_045960.1	37538046	0.47703	0.47703	0.00000	1.00000	1.00000	0.00000	0.65245	0.65245	0.00000
