# Population Skagerrak_Thornbackskate	P08780,SR10,SR11,SR12,SR14,SR15,SR16,SR17,SR18,SR19,SR20,SR22,SR23,SR3,SR4,SR5,SR8,SR9
# Population NorthSea_Spottedray	P08871,P08878,P08953
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
8	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045956.1	17483015	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
30	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045956.1	49130841	0.76965	0.76965	0.00000	1.00000	1.00000	0.00000	0.74312	0.74312	0.00000
79	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045956.1	95256501	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.93356	0.93356	0.00000
100	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045956.1	127726675	0.39188	0.39188	0.00000	0.28701	0.28701	0.00000	0.26225	0.26225	0.00000
110	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045956.1	137361358	0.93106	0.93106	0.00000	1.00000	1.00000	0.00000	0.50697	0.50697	0.00000
189	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045957.1	32309042	0.78125	0.78125	0.00000	1.00000	1.00000	0.00000	0.78526	0.78526	0.00000
334	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045958.1	86125792	0.71164	0.71164	0.00000	1.00000	1.00000	0.00000	0.77322	0.77322	0.00000
343	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045958.1	93202152	0.36199	0.36199	0.00000	0.34415	0.34415	0.00000	0.33897	0.33897	0.00000
379	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045959.1	11702144	0.21647	0.21647	0.00000	0.44584	0.44584	0.00000	0.22034	0.22034	0.00000
522	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045960.1	37538046	0.47938	0.47938	0.00000	1.00000	1.00000	0.00000	0.62591	0.62591	0.00000
546	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045960.1	57877902	0.51532	0.51532	0.00000	1.00000	1.00000	0.00000	0.64313	0.64313	0.00000
569	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045960.1	79838621	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
665	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045962.1	460554	0.69287	0.69287	0.00000	1.00000	1.00000	0.00000	0.45750	0.45750	0.00000
721	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045962.1	59158986	0.75742	0.75742	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
740	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045963.1	6038802	0.70844	0.70844	0.00000	1.00000	1.00000	0.00000	0.95998	0.95998	0.00000
780	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045963.1	48067031	0.87780	0.87780	0.00000	1.00000	1.00000	0.00000	0.89824	0.89824	0.00000
820	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045964.1	15774400	0.59254	0.59254	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
924	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045965.1	51904861	-0.33141	-0.33141	0.00000	-0.02315	-0.02315	0.00000	0.18896	0.18896	0.00000
956	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045966.1	18630599	-0.05856	-0.05856	0.00000	1.00000	1.00000	0.00000	0.70701	0.70701	0.00000
1047	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045967.1	52130172	0.51613	0.51613	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1053	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045967.1	57676791	0.07223	0.07223	0.00000	0.55484	0.55484	0.00000	0.61111	0.61111	0.00000
1139	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045969.1	29547571	0.76821	0.76821	0.00000	1.00000	1.00000	0.00000	0.91226	0.91226	0.00000
1143	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045969.1	31465155	-0.33043	-0.33043	0.00000	-0.02838	-0.02838	0.00000	0.13005	0.13005	0.00000
1155	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045969.1	38414589	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.58333	0.58333	0.00000
1282	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045972.1	8597930	0.31547	0.31547	0.00000	0.89099	0.89099	0.00000	0.21581	0.21581	0.00000
1296	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045972.1	19589136	0.61113	0.61113	0.00000	0.79026	0.79026	0.00000	0.77500	0.77500	0.00000
1356	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045973.1	33998032	0.96127	0.96127	0.00000	1.00000	1.00000	0.00000	0.35213	0.35213	0.00000
1361	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045973.1	35799385	0.91853	0.91853	0.00000	1.00000	1.00000	0.00000	0.69713	0.69713	0.00000
1362	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045973.1	36283810	0.84922	0.84922	0.00000	1.00000	1.00000	0.00000	0.88525	0.88525	0.00000
1368	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045973.1	41877268	-0.14027	-0.14027	0.00000	-0.00827	-0.00827	0.00000	0.03883	0.03883	0.00000
1375	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045974.1	468908	0.90758	0.90758	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1391	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045974.1	13690665	-0.03896	-0.03896	0.00000	-0.01167	-0.01167	0.00000	-0.08899	-0.08899	0.00000
1403	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045974.1	22009269	0.69020	0.69020	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1446	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045975.1	16626671	0.76989	0.76989	0.00000	0.94634	0.94634	0.00000	0.95087	0.95087	0.00000
1454	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045975.1	22992060	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.88275	0.88275	0.00000
1472	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045975.1	35569990	0.23191	0.23191	0.00000	1.00000	1.00000	0.00000	0.22222	0.22222	0.00000
1526	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045977.1	23005581	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.86395	0.86395	0.00000
1537	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045977.1	31674640	0.03226	0.03226	0.00000	0.12382	0.12382	0.00000	0.49931	0.49931	0.00000
1570	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045978.1	22251683	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	0.93739	0.93739	0.00000
1717	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045981.1	27382893	0.17260	0.17260	0.00000	1.00000	1.00000	0.00000	0.53092	0.53092	0.00000
1752	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045982.1	19329712	0.32394	0.32394	0.00000	1.00000	1.00000	0.00000	0.63958	0.63958	0.00000
1759	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045982.1	23906648	0.59200	0.59200	0.00000	1.00000	1.00000	0.00000	0.78154	0.78154	0.00000
1783	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045983.1	13658548	0.89981	0.89981	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1797	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045983.1	20205624	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
1827	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045984.1	13582493	-0.06562	-0.06562	0.00000	0.24149	0.24149	0.00000	-0.04554	-0.04554	0.00000
1844	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045984.1	25032221	-0.27344	-0.27344	0.00000	-0.11616	-0.11616	0.00000	0.10443	0.10443	0.00000
1978	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045988.1	21982407	0.85661	0.85661	0.00000	1.00000	1.00000	0.00000	0.75059	0.75059	0.00000
2071	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045992.1	17603329	0.73359	0.73359	0.00000	1.00000	1.00000	0.00000	0.66981	0.66981	0.00000
2106	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045994.1	1039960	0.85714	0.85714	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
2113	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045994.1	8320647	0.36644	0.36644	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
2138	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045996.1	13270043	0.38272	0.38272	0.00000	0.25140	0.25140	0.00000	0.06484	0.06484	0.00000
2140	Skagerrak_Thornbackskate	NorthSea_Spottedray	NC_045996.1	14772406	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
